"favorite_key","favorite_name","region","counties","scenario","source_type","system_or_category","sites_or_coverage","departments_or_channels","mode","monitorability","upgrade_required","source_url","notes"
"FL55","Medevac & Rescue Aviation","Marine/Aviation","Statewide","EMS/aviation","conventional AM/FM + trunked P25","Airlift NW + USCG air stations","Statewide bases: Seattle/Harborview,Bellingham,Wenatchee,Yakima,Walla Walla,Olympia","Airlift NW air-ground129.825(AM);dispatch155.295(P25 NAC293);USCG Air Sta Port Angeles326.150/345.000(AM);VMED28 155.340;Life Flight463.0375","AM + P25 + FM","Full - unencrypted","None (P25 native)","https://www.radioreference.com/db/aid/11155","Verify current per-base entries in Sentinel/RRDB"
"FL56","Rail Western WA","Rail","12+ western counties","Rail","conventional AAR","BNSF Seattle/Scenic/Bellingham Subs + shortlines","Seattle-Tacoma-Vancouver WA, Seattle/Everett-Wenatchee via Stevens Pass, Everett-Canadian border","AAR70 161.160(road);AAR87 161.415;AAR66 161.100;Balmer Yard hump AAR80 161.310;switching AAR36 160.650;Stacy Yard AAR60 161.010;MOW AAR54 160.920","FMN","Full - unencrypted analog","NXDN upgrade if/when yard digital encountered","https://www.radioreference.com/db/aid/9298","Sounder South rides Seattle Sub; Sounder North rides Bellingham Sub AAR76"
"FL57","Rail Eastern WA","Rail","10+ eastern counties","Rail","conventional AAR","BNSF Stampede/Columbia River/Spokane/Pasco Subs + shortlines","Auburn-Stampede Pass-Pasco, Wenatchee-Spokane, Spokane mainline","AAR76 161.250(Stampede/Spokane road);AAR54 160.920(MOW);AAR66/70 161.100/161.160(Columbia River/Pasco);Columbia Rail Group shortlines 160.560/160.860","FMN","Full - unencrypted analog","None","https://www.radioreference.com/db/aid/9298","Columbia Rail Group shortlines (Columbia-WallaWalla RR,Port of Royal Slope,Yakima Central RR) share 2 channels"
"FL58","Transit Rail (Sound Transit/Sounder)","Rail/Transit","King, Snohomish, Pierce","Rail/transit","trunked P25 + conventional AAR","Sound Transit Link (PSERN TGs) + Sounder (BNSF)","King County light rail + Sounder commuter lines","Tunnel Ops;Mainline Ops1/2;Maintenance;Fare Inspection(clear);Security/Security Emergency Button(likely enc); Sounder rides BNSF Seattle/Bellingham Sub","P25 Phase II + FMN","Ops clear; security encrypted","None (P25 native)","https://www.radioreference.com/db/sid/11628","Sounder has no separate radio system - monitor underlying BNSF channels"
"FL59","Military Ground Ops","Military","Pierce, Kitsap","Military","conventional FM","JBLM Range Control + PSNS + Bangor","Fort Lewis ranges, Bremerton shipyard, Naval Base Kitsap/Bangor","Range Ops Primary41.1(PL150.0);Range Ops Secondary40.2;Flight Following Bullseye34.6;PSNS Police/Security/Fire140.0(multi-dispatch)","FM","Mostly clear; some federal/restricted","None","https://www.radioreference.com/db/aid/8998","Much current military traffic is encrypted P25 or frequency-hopping SINCGARS"
"FL60","WA Amateur Analog Repeaters","Amateur","Statewide","Amateur/hobby","conventional FM","Curated statewide repeater sample","Statewide, standard 2m -600kHz / 70cm +5MHz offsets","146.820/146.220 PL100.0(Seattle);146.960/146.360 PL127.3(Olympia ARES);147.260/147.860 PL156.7(Chelan,Evergreen Intertie);444.925/449.925 PL100.0(Chinook Pass,WIN)","FM","Full - unencrypted","None","https://www.repeaterbook.com/repeaters/Display_SS.php?state_id=53","Full directories at WWARA(west)/ERAC(east)/RepeaterBook"
"FL61","Linked Amateur Systems","Amateur","Statewide","Amateur/hobby","conventional FM + DMR","WIN System, Evergreen Intertie, SRG, PNWDigital DMR, EchoLink/IRLP/AllStar","Statewide linked repeater networks","WIN primary444.750/449.750 PL100.0(Sequim,AllStar1880);Chinook Pass node444.925;Evergreen Intertie via147.260;PNWDigital DMR nodes","FM + DMR","FM full; PNWDigital needs DMR upgrade","DMR upgrade for PNWDigital","https://pnwdigital.net/repeaters-map/","Program only best-signal local node to avoid duplicate decode overhead"
"FL62","ARES/RACES/ACS","Amateur","Statewide","Amateur/emergency mgmt","conventional FM (HF out of range)","VHF/UHF simplex + Winlink packet","Statewide emergency communications network","146.520(national calling);146.580(WA ARES/RACES/ACS common);145.510/145.650(Eastside/King Co tac);446.000/445.000(UHF calling/alt);Winlink144.950/145.630(carrier-only)","FM","Full - unencrypted (Winlink carrier-only)","None","https://www.aresofkingcounty.org/resources/frequencies","HF nets (3.985/7.245 LSB) below 25MHz - out of SDS150 range, need separate HF receiver"
"FL63","Simplex/Calling Frequencies","Amateur","Statewide","Amateur/hobby","conventional FM","National calling frequencies","Statewide","146.520(2m national,most-monitored WA amateur freq);446.000(70cm national);223.500(1.25m national);52.525(6m national,best Jun-Aug)","FM","Full - unencrypted","None","https://www.arrl.org","SDS150 cannot demodulate SSB calling frequencies (144.200/432.100/28.400) - omit"
"FL65","GMRS/FRS + NWAC Backcountry","Outdoor/hobby","Statewide","Outdoor recreation","conventional FM","FRS/GMRS shared channels + NWAC/SPART program","Statewide, short range 1-5mi typical","Ch1-7 shared462.5625-462.7125;Ch8-14 FRS-only467.5625-467.7125(0.5W);Ch15-22 GMRS/FRS462.5500-462.7250;NWAC FRS Ch7(462.7125,CTCSS71.9)","FM","Full - unencrypted","None (GMRS transmit needs FCC license, receive is free)","https://nwac.us/backcountry-radio-channels/","NWAC/SPART Snoqualmie Pass program is legal party-to-party, not monitored by SAR/patrol"
"FL66","MURS + CB","Business/hobby","Statewide","Business/hobby","conventional FM/AM","MURS 5-channel + CB 40-channel","Statewide","MURS Ch1-3 151.820/151.880/151.940(light);Ch4 Blue Dot154.570(heavy);Ch5 Green Dot154.600(heavy);CB Ch9 27.065(emergency);CB Ch19 27.185(trucker highway)","FM (MURS) + AM (CB)","Full for FM/AM; CB SSB channels not decodable","None","https://wiki.radioreference.com/index.php/Common_Itinerant_and_Business","SDS150 cannot demodulate CB SSB channels (Ch38LSB etc)"
"FL68","Business/Industrial Color Dot","Business","Statewide","Business/industrial","conventional FM","Nationally shared itinerant channels","Statewide, active daily in urban/suburban areas","151.625(Red Dot);Itinerant VHF1-4 151.505/151.515/151.700/151.760;154.570/154.600(Blue/Green Dot,also MURS);464.500(Brown Dot);464.550(Yellow Dot);Itinerant UHF1-5 467.7625/467.8125/467.850/467.875/467.900;467.925(Silver Star)","FM","Full - unencrypted","None","https://wiki.radioreference.com/index.php/Common_Itinerant_and_Business","Worth programming in every profile; expect heavy unrelated urban traffic"
"FL69","Utilities & SCADA","Utility","Statewide","Utility","conventional + trunked MPT-1327","Seattle City Light + Puget Sound Energy + SCADA","Statewide utility service territories","Seattle City Light 851.2875/851.5875/851.8625/852.3625 (FMN);PSE mixed conventional/MPT-1327(undecoded);SCADA/telemetry data-only(undecoded)","FMN + MPT-1327(undecoded) + data(undecoded)","Partial - SCADA and MPT-1327 not decodable","None (cannot be unlocked for MPT-1327/SCADA)","https://wireless.fcc.gov/uls/index.htm?job=home","Identify SCADA by data-noise signature during Discovery and lock out"
"FL70a","Commercial DMR - KC Metro Transit","Commercial digital","King","Commercial digital","trunked/conventional DMR","King County Metro Transit DMR","King County transit service area","451.5125(Atlantic Base dispatch);451.6625(Ch2);452.0875(Ch4)","DMR","Requires paid upgrade to decode","DMR digital upgrade required","https://www.radioreference.com/db/browse/ctid/2974","The SDS150 DMR upgrade covers supported single-channel, Tier II/III, and XPT operation"
"FL70b","Commercial NXDN - AMR Seattle","Commercial digital","King","Commercial digital/EMS","conventional NXDN","AMR Seattle EMS dispatch","King County EMS service area","152.3375(Ch1 dispatch,NXDN48);152.4425(Ch2,NXDN48)","NXDN48","Requires paid upgrade to decode","NXDN upgrade required","https://digitalfrequencysearch.com/index.php","Carrier hit with no audio until upgrade purchased"
"FL71","Hospitals & Medevac","Medical","Statewide","Medical/EMS","conventional FM + NXDN + P25","HEAR/MED statewide channels + AMR NXDN","Statewide hospital-EMS coordination","HEAR155.340(hospital-EMS medical control);MED-1 463.000/468.000;MED-7 463.150/468.150;MED-9 163.000;AMR NXDN152.3375/152.4425","FM + NXDN48","Full for FM; NXDN needs upgrade","NXDN upgrade for AMR channels","https://mil.wa.gov/asset/610097d704789","Hospital internal ops (security/transport) unpublished - Discovery target on-campus"
"FL72","Schools/Malls/Stadiums","Discovery","Statewide","Discovery","discovery target","School districts, retail centers, stadiums/arenas","Statewide venue-specific","Schools: MURS Ch4/5 or district-licensed VHF/UHF; Malls: 451-470MHz licensed/itinerant; Stadiums(Lumen Field,T-Mobile Park,Climate Pledge): 451-469MHz event-leased","FM/UHF - varies","Not monitorable without on-site Discovery","Unknown - some may be DMR/NXDN","N/A","Run Close Call in parking-lot approach before programming anything"
"FL73","Events (Seafair/Fairs/Airshows)","Event/Discovery","King, Pierce, Spokane","Event monitoring","conventional + discovery","Seafair, WA State Fair, Spokane Interstate Fair, airshows","Annual recurring event venues","Seafair FCC WRYC378 451.4125/452.0125/452.6375/452.9750/452.3750/456.4125/457.0125/457.1000/457.3375/457.3750/457.9750/461.6000/461.6250/461.7875/463.3000/463.3125;Blue Angels AM237.800/251.600/284.250;Air Boss123.150;WA State Fair UHF464.500/464.550(verify NXDN/DMR)","FM + AM","Verified for Seafair licensee; others partial/Discovery","Possible DMR/NXDN for some fair vendors","https://www.radioreference.com/db/fcc/callsign/WRYC378","Event radio plans change annually - verify current FCC licensee each year"
"FL74a","News Media Field Crews","Discovery","Statewide","Discovery","discovery target","TV/radio news ENG/SNG field coordination","Statewide, scene-dependent","Air-to-air informal 123.025/123.050/123.075 (AM);licensed ENG/SNG UHF450-451MHz per news org(KOMO/KING/KIRO in FCC ULS)","AM + UHF","Discovery-only for ground crews; aviation portion clear","None","https://wireless.fcc.gov/uls/index.htm?job=home","Microwave backhaul (1.6-2.5GHz S-band) is outside SDS150 coverage"
"FL74b","Tow and Road Crews (WSDOT)","Transportation","Statewide","Transportation/Discovery","conventional + trunked P25","WSDOT Incident Response + private tow","Statewide highway corridors","WSDOT V1/V2/V3 151.070/151.025/156.120;WSDOT P25 simplex digital 769.15625-774.84375(8ch,'Simplex3'769.91875 most-used SW WA);private tow Discovery 450-470MHz","FM + P25 (native)","WSDOT clear; private tow Discovery-only","None (P25 native for WSDOT simplex)","https://www.radioreference.com/db/aid/2299","WSDOT P25 simplex is native P25 Phase I digital, no upgrade needed"
"FL75","NOAA Weather Radio Statewide","Weather","All 39 counties","Weather/SAME","conventional WX + SAME","17 primary WA-serving NOAA transmitters","Statewide, overlapping coverage in mountains","KAD93 Blaine162.525;KEC91 Astoria162.400;KHB60 Seattle162.550;KIG75 Yakima162.550;KIH36 NeahBay162.550;KXI27 Forks162.425;KZZ73 Dayton162.525;WNG604 DavisPeak162.525;WWF49 Okanogan162.525;WWF56 Richland162.450;WWG24 PugetSoundMarine162.425;WWH27 Plymouth162.425;WXL86 Spokane162.400;WXM48 Wenatchee162.475;WXM62 CapitolPeak162.475;WXN21 CleElum162.400;WZ2502 Randle162.425","WX (NOAA)","Full - unencrypted, federal","None","https://www.weather.gov/nwr/stations?State=WA","Enable SAME by county FIPS code (53xxx); always run with Weather Alert Priority"
