Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
124,GRD1215,121.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,International aeronautical emergency; https://www.airnav.com/airport/KNUW,,,,
125,STTLPARC,122.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,"Seattle Radio flight service, Port Angeles remote outlet; https://www.airnav.com/airport/KCLM",,,,
126,CTFQLLYT,122.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,"Common traffic advisory for KUIL, S18 and 11S; https://www.airnav.com/airport/KUIL",,,,
127,PRTANGL2,122.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,Fairchild International KCLM common traffic advisory and UNICOM; https://www.airnav.com/airport/KCLM,,,,
128,ZSSCTR03,125.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,"Seattle Center sector 03, Neah Bay RCAG, the sector over Lake Ozette; https://www.radioreference.com/db/aid/2235",,,,
129,CGOPSPRT,127.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,Coast Guard Air Station Port Angeles operations; https://www.airnav.com/airport/KNOW,,,,
130,WHDBYTWR,127.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,NAS Whidbey Island tower; https://www.airnav.com/airport/KNUW,,,,
131,ZSSCTR02,128.300000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,"Seattle Center sector 02, Hoquiam RCAG, south Washington coast; https://www.radioreference.com/db/aid/2235",,,,
132,WHDBYATS,134.150000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,NAS Whidbey Island automatic terminal information; https://www.airnav.com/airport/KNUW,,,,
133,ZSSCTR12,134.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,"Seattle Center sector 12, Whidbey Island RCAG; https://www.radioreference.com/db/aid/2235",,,,
134,PRTANGL3,135.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,Automated weather at KCLM; https://www.airnav.com/airport/KCLM,,,,
135,ASSQLLYT,135.225000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,Automated weather at Quillayute State Airport KUIL; https://www.airnav.com/airport/KUIL,,,,
136,CGARGRND,379.050000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,US Coast Guard air-to-ground secondary; https://www.radioreference.com/db/aid/7760,,,,
137,CGSPAVFR,381.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,10W,Coast Guard Air Station Port Angeles VFR advisory; https://www.airnav.com/airport/KNOW,,,,
138,WAFRRSDC,151.040000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Washington State Ferries deck to shore, call KA3145; https://www.radioreference.com/db/aid/2299",,,,
139,BNNVLLPW,172.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Bonneville Power Administration repeater; https://www.radioreference.com/db/aid/2373,,,,
140,MVCHLDNG,461.187500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,"Black Ball ferry MV Coho loading and offloading, Port Angeles to Victoria; https://www.radioreference.com/db/browse/ctid/2962",,,,
141,MVCHBRDG,467.775000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,Black Ball ferry MV Coho bridge to engine room; https://www.radioreference.com/db/browse/ctid/2962,,,,
142,W7JCRPRT,145.150000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.5500; -0.6000 MHz; FM; Jefferson County ARC; http://www.jcarcwa.org,,,,
143,W7PSEOLY,145.150000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.5500; -0.6000 MHz; FM; Puget Sound Energy ARG; https://www.wwara.org/DataBaseExtract.zip,,,,
144,NM7BLFR,145.170000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.5700; -0.6000 MHz; FM/Fusion; N.Mason ARESC; https://www.wwara.org/DataBaseExtract.zip,,,,
145,N7GDELYM,145.190000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.5900; -0.6000 MHz; FM; Radio Amateurs of Skagit; http://rasconline.com,,,,
146,W7DKTCM,145.210000,-,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.6100; -0.6000 MHz; FM; Radio Club of Tacoma; https://www.wwara.org/DataBaseExtract.zip,,,,
147,N3KPGRHM,145.230000,-,0.600000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.6300; -0.6000 MHz; FM/Fusion; N3KPU; https://www.wwara.org/DataBaseExtract.zip,,,,
148,W7BPDKND,145.230000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.6300; -0.6000 MHz; FM; Blaine Police ACS; https://www.wwara.org/DataBaseExtract.zip,,,,
149,K7DNRASH,145.250000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.6500; -0.6000 MHz; FM; DNC ARC; https://www.wwara.org/DataBaseExtract.zip,,,,
150,KK7DFLOL,145.275000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,input 144.6750; -0.6000 MHz; NFM; S. Puget Sound DStar; https://www.wwara.org/DataBaseExtract.zip,,,,
151,KC7IYERD,145.310000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.7100; -0.6000 MHz; FM; KC7IYE; https://www.wwara.org/DataBaseExtract.zip,,,,
152,K7NWSTGR,145.330000,-,0.600000,Tone,179.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.7300; -0.6000 MHz; FM; Boeing Employee ARS; http://www.k7nws.org,,,,
153,W7ENMCLW,145.370000,-,0.600000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.7700; -0.6000 MHz; FM; Pierce County DEM; http://www.piercecountyares.net,,,,
154,N7IGPRTO,145.390000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.7900; -0.6000 MHz; FM; AC7MD; http://www.n7ig.org,,,,
155,WB7DOBCR,145.410000,-,0.600000,Tone,162.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.8100; -0.6000 MHz; FM; WB7DOB; https://www.wwara.org/DataBaseExtract.zip,,,,
156,KD7WDGSL,145.425000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,input 144.8250; -0.6000 MHz; NFM; KitsapCountyDEM; https://www.kitsapdem.com/programs/kars,,,,
157,KB7CNNAL,145.450000,-,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.8500; -0.6000 MHz; FM; KB7CNN; https://www.wwara.org/DataBaseExtract.zip,,,,
158,K7CPROLY,145.470000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.8700; -0.6000 MHz; FM; Capital Peak Rptr Group; http://www.47repeater.com,,,,
159,K7LWHKRK,145.490000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 144.8900; -0.6000 MHz; FM; Lake WA Ham Club; http://www.lakewashingtonhamclub.org,,,,
160,WB7DVNEL,146.450000,+,1.000000,Cross,88.5,88.5,245,NN,023,DTCS->,NFM,5.00,,10W,input 147.4500; +1.0000 MHz; NFM; WB7DVN; https://www.wwara.org/DataBaseExtract.zip,,,,
161,KC7ZGLDM,146.620000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.0200; -0.6000 MHz; FM; Kitsap County ARC; http://kcarc.org,,,,
162,W7EDGWD,146.640000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.0400; -0.6000 MHz; FM; Pierce County DEM; http://piercecountyares.net,,,,
163,NC7GSTC,146.660000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.0600; -0.6000 MHz; FM/Fusion; Highline ARC; http://highlinearc.org,,,,
164,A7THVSHN,146.687500,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,input 146.0875; -0.6000 MHz; NFM; AE7TH; https://www.wwara.org/DataBaseExtract.zip,,,,
165,N7JNFRDY,146.700000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.1000; -0.6000 MHz; FM; San Juan County ARS; http://www.sjcars.org,,,,
166,W7EATETN,146.700000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.1000; -0.6000 MHz; FM; Pierce County ARES; http://www.piercecountyares.net,,,,
167,N7SKSHLT,146.720000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.1200; -0.6000 MHz; FM; Mason County ARC; http://mc-arc.org,,,,
168,K7SKWLKT,146.740000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.1400; -0.6000 MHz; FM; Mt. Baker ARC; http://mbarc.org,,,,
169,W7FWFDWY,146.760000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.1600; -0.6000 MHz; FM; Federal Way ARC; https://fwarc.org,,,,
170,WA7DEMLY,146.775000,-,0.600000,Tone,156.7,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,input 146.1750; -0.6000 MHz; NFM; Snohomish County DEM; http://wa7dem.inf0,,,,
171,WW7CHASH,146.780000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.1800; -0.6000 MHz; FM; WW7CH; https://www.wwara.org/DataBaseExtract.zip,,,,
172,KC7CKLCY,146.787500,-,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,input 146.1875; -0.6000 MHz; NFM; KC7CKO; https://www.wwara.org/DataBaseExtract.zip,,,,
173,KC7CKOCR,146.800000,-,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.2000; -0.6000 MHz; FM; KC7CKO; http://pnw220.net,,,,
174,W7UFILYN,146.800000,-,0.600000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.2000; -0.6000 MHz; FM; N7NFY; https://www.wwara.org/DataBaseExtract.zip,,,,
175,K7LEDTGR,146.820000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.2200; -0.6000 MHz; FM; Mike & Key ARC; http://wwwmikeandkey.org,,,,
176,WW7MSTST,146.900000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.3000; -0.6000 MHz; FM; WWAMedSrvEC; http://www.ww7mst.org,,,,
177,WA7DEMGR,146.925000,-,0.600000,Tone,156.7,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,input 146.3250; -0.6000 MHz; NFM; Snohomish County DEM; www.wa7dem.info,,,,
178,K7HWUNVR,146.937500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,input 146.3375; -0.6000 MHz; NFM; K7TGU; https://www.wwara.org/DataBaseExtract.zip,,,,
179,WW7PSRST,146.960000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.3600; -0.6000 MHz; FM; Puget Sound Rptr Group; http://www.psrg.org,,,,
180,K7MMIBLD,146.980000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.3800; -0.6000 MHz; FM; N7KFJ; http://www.kruml.com,,,,
181,W7DXRDMN,147.000000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 146.4000; -0.6000 MHz; FM; Western WA DX Club; http://www.wwdxc.org,,,,
182,W7FWFDW2,147.040000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 147.6400; +0.6000 MHz; FM; Federal Way ARC; http://www.fwarc.org,,,,
183,WW7STRCG,147.080000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 147.6800; +0.6000 MHz; FM; https://www.wwara.org/DataBaseExtract.zip,,,,
184,WW7STRTG,147.080000,+,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,input 147.6800; +0.6000 MHz; FM; SeaTac Rptr Assoc; http://www.seatacra.com,,,,
185,KC7RASCG,147.100000,+,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,input 147.7000; +0.6000 MHz; NFM; KC7RAS; https://www.wwara.org/DataBaseExtract.zip,,,,
